name,raw_title,summary,link
Greg Davies,GREG DAVIES: YOU MAGNIFICENT BEAST (2018) – Full Transcript,"British comedian Greg Davies revisits terrifying dates, manscaping disasters, his father's pranks and more in a savagely funny stand-up special.",https://scrapsfromtheloft.com/2018/04/27/greg-davies-you-magnificent-beast-full-transcript/
Patton Oswalt,COMEDY CENTRAL PRESENTS: PATTON OSWALT (1999) – Full Transcript,"In this half-hour standup special Patton Oswalt talks about a visit to the Ann Frank Museum, getting older, reading obituaries, old movies, Easter color eggs and explores the depravity of reality television. ",https://scrapsfromtheloft.com/2018/04/20/comedy-central-patton-oswalt-1999-full-transcript/
Ricky Gervais,RICKY GERVAIS: 2012 GOLDEN GLOBES OPENING MONOLOGUE,"""The Hollywood Foreign Press have warned me that if I insult any of you, or any of them, or offend any viewers, or cause any controversy whatsoever, they’ll definitely invite me back next year.""",https://scrapsfromtheloft.com/2018/03/27/ricky-gervais-2012-golden-globes-opening-monologue/
Marlon Wayans,MARLON WAYANS: WOKE-ISH (2018) – Full Transcript,"Rollicking, outrageous and audacious, Marlon Wayans gets raw on racism, age-appropriate rap rhymes, gay rights, raising kids and even the Kardashians.",https://scrapsfromtheloft.com/2018/03/21/marlon-wayans-wokeish-transcript/
Ricky Gervais,RICKY GERVAIS: HUMANITY (2018) – Full Transcript,Ricky Gervais examines his own ability to generate controversy in a new Netflix special,https://scrapsfromtheloft.com/2018/03/15/ricky-gervais-humanity-transcript/
Adel Karam,ADEL KARAM: LIVE FROM BEIRUT (2018) – Full Transcript,"Adel Karam goes back to his hometown to appear at Beirut's renowned Casino du Liban where his standup pokes fun at everything from relationships to regional social issues with his distinctly local blend of smart, sarcastic humour. ",https://scrapsfromtheloft.com/2018/03/12/adel-karam-live-from-beirut-transcript/
Stewart Lee,STEWART LEE: 90s COMEDIAN (2006) – Full Transcript,"The Catholic Church are very worried about you all reading The Da Vinci Code. And in fact, in January last year, the Vatican actually issued an official statement reminding Dan Brown readers that the books are largely fictional and full of historically unverifiable information...",https://scrapsfromtheloft.com/2018/03/06/stewart-lee-90s-comedian-2006-full-transcript/
Mike Birbiglia,MIKE BIRBIGLIA: MY GIRLFRIEND’S BOYFRIEND (2013) – Full Transcript,Mike Birbiglia gives his audience a honest insight into his personal experiences over his life of tumultuous relationships.,https://scrapsfromtheloft.com/2018/03/03/mike-birbiglia-my-girlfriends-boyfriend-2013-full-transcript/
Dave Attell,DAVE ATTELL: ROAD WORK (2014) – Full Transcript,"As expected, Attell doesn’t hold back on disgusting and self-deprecating humor. He confesses that his genitals look more and more like a tent that no one knows how to fold and that on his best day his junk smells like a foot. ",https://scrapsfromtheloft.com/2018/02/25/dave-attell-road-work-transcript/
Eddie Izzard,EDDIE IZZARD – GLORIOUS (1997) – Full Transcript,"Eddie Izzard's routine has a loose trajectory from the beginning of the Old Testament and the creation of the world in seven days to Revelations; God, in the voice of James Mason, makes several appearances. Along the way, Izzard dramatizes or comments on the search for a career, bad giraffes, Prince Philip's gaffes, toilets in French campsites, the mysteries of hopscotch, becoming one's Dad, getting a computer to print, and his court victory after being the victim of tranny bashing.",https://scrapsfromtheloft.com/2018/02/22/eddie-izzard-glorious-1997-full-transcript/
Chris Rock,CHRIS ROCK: BRING THE PAIN (1996) – Full Transcript,"In his second HBO stand-up special Chris Rock discusses life, relationships, racism, society, politics, and controversial figures such as OJ Simpson, Marion Barry, and even the President -- speaking not only from personal experience but also keen observations.",https://scrapsfromtheloft.com/2018/02/17/chris-rock-bring-pain-transcript/
Ari Shaffir,ARI SHAFFIR: DOUBLE NEGATIVE (2017) – Full Transcript,"Shaffir’s Double Negative includes a 44-minute set called Children, followed by a 47-minute called Adulthood; both filmed on the same night at Cap City Comedy Club in Austin. Shaffir took only a brief intermission to change his wardrobe and the lighting, keeping the same crowd in the house.",https://scrapsfromtheloft.com/2018/02/17/ari-shaffir-double-negative-transcript/
Chris Rock,CHRIS ROCK: TAMBORINE (2018) – Full Transcript,"For his first stand-up special in nearly a decade, Chris Rock takes on many hot-button issues like Donald Trump and police violence, while also delving into his own personal life and mistakes, including cheating on his ex-wife and his self-described porn addiction.",https://scrapsfromtheloft.com/2018/02/15/chris-rock-tamborine-transcript/
Fred Armisen,FRED ARMISEN: STANDUP FOR DRUMMERS (2018) – Full Transcript,"For an audience of drummers, comedian Fred Armisen shares and demonstrates his thoughts on musical genres, drummer quirks, regional accents and more.",https://scrapsfromtheloft.com/2018/02/13/fred-armisen-standup-for-drummers-transcript/
Dana Carvey,"DANA CARVEY: STRAIGHT WHITE MALE, 60 (2016) – Full Transcript",Emmy-winning comedian Dana Carvey blends pitch-perfect takes on big personalities with so-true-it-hurts stories from his life as a dad of millennials.,https://scrapsfromtheloft.com/2018/02/11/dana-carvey-straight-white-male-60-2016-full-transcript/
Eddie Izzard,EDDIE IZZARD: STRIPPED (2009) – Full Transcript,"The acclaimed comedian of the surreal performs another unique stream-of-consciousness monologue in this latest live outing. Eddie ponders, among other things, the history of the world, cows in cars, and the existence of God.",https://scrapsfromtheloft.com/2018/02/08/eddie-izzard-stripped-2009-full-transcript/
Todd Glass,TODD GLASS: ACT HAPPY (2018) – Full Transcript,Try to keep up as comedian Todd Glass delivers rapid-fire stand-up that bounces from his heart attack to his coming out to how to eat a Kit Kat.,https://scrapsfromtheloft.com/2018/01/30/todd-glass-act-happy-transcript/
Brian Regan,BRIAN REGAN: STANDING UP (2007) – Full Transcript,"Stand-up comedian Brian Regan offers his unique take on the absurd aspects of everyday life in this hilarious Comedy Central concert. With offbeat originality, Regan riffs on flight delays, greeting cards, baby books and his 3-year-old daughter.",https://scrapsfromtheloft.com/2018/01/29/brian-regan-standing-up-2007-full-transcript/
Brian Regan,BRIAN REGAN: NUNCHUCKS AND FLAMETHROWERS (2017) – Full Transcript,"Brian Regan takes relatable family humor to new heights as he talks board games, underwear elastic and looking for hot dogs in all the wrong places. Recorded at The Paramount Theatre in Denver.",https://scrapsfromtheloft.com/2018/01/28/brian-regan-nunchucks-flamethrowers-transcript/
Katt Williams,KATT WILLIAMS: GREAT AMERICA (2018) – Full Transcript,"Live performance of comedian Katt Williams riffing on the American political climate, racial tensions, sex and his disdain for roast beef.",https://scrapsfromtheloft.com/2018/01/27/katt-williams-great-america-2018-full-transcript/
Jimmy Carr,JIMMY CARR: BEING FUNNY (2011) – Full Transcript,"According to Ofcom, the people that make guidelines for television, the most offensive words on TV are the F word and C word, but I'm live on stage this evening so I can say whatever the fuck I like. And those cunts can't do anything about it.",https://scrapsfromtheloft.com/2018/01/25/jimmy-carr-being-funny-transcript/
Jimmy Carr,JIMMY CARR: LAUGHING AND JOKING (2013) – Full Transcript,"""I've been described as the hardest-working man in comedy. Not that impressive, is it? The hardest-working man in comedy. That's like being the best-looking guy in the burns unit. No offence to any burns victims we've got in. Are there any in? If there's one, there'll be fucking loads. They tend to stick together.""",https://scrapsfromtheloft.com/2018/01/23/jimmy-carr-laughing-and-joking-2013-full-transcript/
Eddie Izzard,EDDIE IZZARD: UNREPEATABLE (1994) – Full Transcript,"Recorded at the Albery Theatre in March 1994, Eddie Izzard delivers over 70 minutes of scatological material to a sold out crowd. He covers everything from films, Star Trek, cats, shopping and supermarkets.",https://scrapsfromtheloft.com/2018/01/21/eddie-izzard-unrepeatable-transcript/
D.L. Hughley,D.L. HUGHLEY: UNAPOLOGETIC (2007) – Full Transcript,"D.C., Hughley focuses on such topics as the dangers of living in the nation's capital, the qualifications of the 2008 presidential candidates, the current administration, the immigration debate, Cuban refugees, airplane restrictions, the 'n' word, Don Imus and freedom of speech, whites and blacks on cruise ships, Paris Hilton, and much more...",https://scrapsfromtheloft.com/2018/01/19/d-l-hughley-unapologetic-2007-full-transcript/
Bridget Everett,BRIDGET EVERETT: GYNECOLOGICAL WONDER (2015) – Full Transcript,"Bridget Everett takes everyone by the balls in her one-hour special, Gynecological Wonder. Her raucous, raunchy and hilarious show is as heartfelt as it is unpredictable as she belts out beautiful songs that will make you laugh, cry and sometimes cringe.",https://scrapsfromtheloft.com/2018/01/19/bridget-everett-gynecological-wonder-2015-full-transcript/
